"name","archive_url","stars"
"lyoungblood/gasstation-express-oracle","https://api.github.com/repos/lyoungblood/gasstation-express-oracle/{archive_format}{/ref}","1"
"gauravgupta45/Amzon-Alexa-Skill-Developer","https://api.github.com/repos/gauravgupta45/Amzon-Alexa-Skill-Developer/{archive_format}{/ref}","1"
"soyanalima/YoutubeClone-master","https://api.github.com/repos/soyanalima/YoutubeClone-master/{archive_format}{/ref}","1"
"gafafre/braum","https://api.github.com/repos/gafafre/braum/{archive_format}{/ref}","1"
"Ebrek/ProyectoIS2","https://api.github.com/repos/Ebrek/ProyectoIS2/{archive_format}{/ref}","1"
"code-xD/amazon-data-parser","https://api.github.com/repos/code-xD/amazon-data-parser/{archive_format}{/ref}","1"
"phingage/pantofola.io","https://api.github.com/repos/phingage/pantofola.io/{archive_format}{/ref}","1"
"tfsiqueira/learning","https://api.github.com/repos/tfsiqueira/learning/{archive_format}{/ref}","1"
"mattvox/politisent","https://api.github.com/repos/mattvox/politisent/{archive_format}{/ref}","1"
"tosmak16/flight-booking-api","https://api.github.com/repos/tosmak16/flight-booking-api/{archive_format}{/ref}","1"
"jiangxufeng/hanmu","https://api.github.com/repos/jiangxufeng/hanmu/{archive_format}{/ref}","1"
"willez88/adulto_mayor","https://api.github.com/repos/willez88/adulto_mayor/{archive_format}{/ref}","1"
"foo2810/CAIUS","https://api.github.com/repos/foo2810/CAIUS/{archive_format}{/ref}","1"
"seung-lab/DynamicAnnotationDB","https://api.github.com/repos/seung-lab/DynamicAnnotationDB/{archive_format}{/ref}","1"
"openculinary/ingredient-parser","https://api.github.com/repos/openculinary/ingredient-parser/{archive_format}{/ref}","1"
"YesseyMelis/TelegramBot","https://api.github.com/repos/YesseyMelis/TelegramBot/{archive_format}{/ref}","1"
"club-1/plexoffice","https://api.github.com/repos/club-1/plexoffice/{archive_format}{/ref}","1"
"gladunvv/auth-app-django","https://api.github.com/repos/gladunvv/auth-app-django/{archive_format}{/ref}","1"
"jacksonherron/NewHere","https://api.github.com/repos/jacksonherron/NewHere/{archive_format}{/ref}","1"
"CSUChico-CINS465/CINS465-S20-Examples","https://api.github.com/repos/CSUChico-CINS465/CINS465-S20-Examples/{archive_format}{/ref}","1"
"OpenHumans/oh-withings-integration","https://api.github.com/repos/OpenHumans/oh-withings-integration/{archive_format}{/ref}","1"
"xurble/rearvue","https://api.github.com/repos/xurble/rearvue/{archive_format}{/ref}","1"
"cavalcantegb/django-estudos","https://api.github.com/repos/cavalcantegb/django-estudos/{archive_format}{/ref}","1"
"varadharajkr/qzyme_workbench_services","https://api.github.com/repos/varadharajkr/qzyme_workbench_services/{archive_format}{/ref}","1"
"Bhagyarsh/mogambo","https://api.github.com/repos/Bhagyarsh/mogambo/{archive_format}{/ref}","1"
"eddinn/urldepot","https://api.github.com/repos/eddinn/urldepot/{archive_format}{/ref}","1"
"nrcmedia/thumbor","https://api.github.com/repos/nrcmedia/thumbor/{archive_format}{/ref}","1"
