"name","archive_url","stars"
"kiyoungp/kiyoungp-backend","https://api.github.com/repos/kiyoungp/kiyoungp-backend/{archive_format}{/ref}","0"
"FrezeSteve/crm","https://api.github.com/repos/FrezeSteve/crm/{archive_format}{/ref}","0"
"Pragmatique/simple-news-site","https://api.github.com/repos/Pragmatique/simple-news-site/{archive_format}{/ref}","0"
"julesc00/profiles-rest-api","https://api.github.com/repos/julesc00/profiles-rest-api/{archive_format}{/ref}","0"
"sheldon18/trackit","https://api.github.com/repos/sheldon18/trackit/{archive_format}{/ref}","0"
"off-grid-block/vote-app","https://api.github.com/repos/off-grid-block/vote-app/{archive_format}{/ref}","0"
"infinityliu/liu","https://api.github.com/repos/infinityliu/liu/{archive_format}{/ref}","0"
"jeffwsoares/jenkins-todo-list","https://api.github.com/repos/jeffwsoares/jenkins-todo-list/{archive_format}{/ref}","0"
"tortueTortue/SoniaWebAppBE","https://api.github.com/repos/tortueTortue/SoniaWebAppBE/{archive_format}{/ref}","0"
"giftbalogun/djangop","https://api.github.com/repos/giftbalogun/djangop/{archive_format}{/ref}","0"
"DavidYopp/django_and_react_app","https://api.github.com/repos/DavidYopp/django_and_react_app/{archive_format}{/ref}","0"
"ismajilv/test","https://api.github.com/repos/ismajilv/test/{archive_format}{/ref}","0"
"AlexandreMoray/SysHealth","https://api.github.com/repos/AlexandreMoray/SysHealth/{archive_format}{/ref}","0"
"levinsamuel/boisbot","https://api.github.com/repos/levinsamuel/boisbot/{archive_format}{/ref}","0"
"GoelBiju/lab","https://api.github.com/repos/GoelBiju/lab/{archive_format}{/ref}","0"
"leonardolnovaes/TestInpe","https://api.github.com/repos/leonardolnovaes/TestInpe/{archive_format}{/ref}","0"
"cosmoBots/cosmosys_rm_plugin_old","https://api.github.com/repos/cosmoBots/cosmosys_rm_plugin_old/{archive_format}{/ref}","0"
"Awsyaseen76/whatsonmena_project","https://api.github.com/repos/Awsyaseen76/whatsonmena_project/{archive_format}{/ref}","0"
"mortykun/mesh_sim","https://api.github.com/repos/mortykun/mesh_sim/{archive_format}{/ref}","0"
"eva-yanrong-chen/udacity-full-stack","https://api.github.com/repos/eva-yanrong-chen/udacity-full-stack/{archive_format}{/ref}","0"
"EnjoyAlexa/Lift-Up","https://api.github.com/repos/EnjoyAlexa/Lift-Up/{archive_format}{/ref}","0"
"daniloxxv/django-react-fullstack","https://api.github.com/repos/daniloxxv/django-react-fullstack/{archive_format}{/ref}","0"
"CRIMBOBJR/Auto_Robot","https://api.github.com/repos/CRIMBOBJR/Auto_Robot/{archive_format}{/ref}","0"
"mikaelgelinas/PresentationSystemeQuestionReponse","https://api.github.com/repos/mikaelgelinas/PresentationSystemeQuestionReponse/{archive_format}{/ref}","0"
"acoto/django_test","https://api.github.com/repos/acoto/django_test/{archive_format}{/ref}","0"
"hdtahay99/web-empresarial","https://api.github.com/repos/hdtahay99/web-empresarial/{archive_format}{/ref}","0"
"jithinlal1/facebook","https://api.github.com/repos/jithinlal1/facebook/{archive_format}{/ref}","0"
"rishabraina/profiles-rest-api","https://api.github.com/repos/rishabraina/profiles-rest-api/{archive_format}{/ref}","0"
"dj8yfo/tsarnavy","https://api.github.com/repos/dj8yfo/tsarnavy/{archive_format}{/ref}","0"
"nguyenl1/evening_class","https://api.github.com/repos/nguyenl1/evening_class/{archive_format}{/ref}","0"
"abybhamra/django_clients","https://api.github.com/repos/abybhamra/django_clients/{archive_format}{/ref}","0"
"Josephtobi/day16backend","https://api.github.com/repos/Josephtobi/day16backend/{archive_format}{/ref}","0"
"ovansa/profiles-rest-api","https://api.github.com/repos/ovansa/profiles-rest-api/{archive_format}{/ref}","0"
"vbudovski/django-tree-demo","https://api.github.com/repos/vbudovski/django-tree-demo/{archive_format}{/ref}","0"
"ahm3delhady/django3-personal-website","https://api.github.com/repos/ahm3delhady/django3-personal-website/{archive_format}{/ref}","0"
"Eduardo-Lucas/minhas-atividades","https://api.github.com/repos/Eduardo-Lucas/minhas-atividades/{archive_format}{/ref}","0"
"naeglinghaff/blog-python-django","https://api.github.com/repos/naeglinghaff/blog-python-django/{archive_format}{/ref}","0"
"ektshowa/mobile_apps","https://api.github.com/repos/ektshowa/mobile_apps/{archive_format}{/ref}","0"
"Shivamtarone1999/Django-News-App","https://api.github.com/repos/Shivamtarone1999/Django-News-App/{archive_format}{/ref}","0"
"madaramefarrell/DjangoREST","https://api.github.com/repos/madaramefarrell/DjangoREST/{archive_format}{/ref}","0"
"hassan9090/Todo","https://api.github.com/repos/hassan9090/Todo/{archive_format}{/ref}","0"
"bulelanimbali/cvat","https://api.github.com/repos/bulelanimbali/cvat/{archive_format}{/ref}","0"
"djaime93/QuestionTime","https://api.github.com/repos/djaime93/QuestionTime/{archive_format}{/ref}","0"
"saldrock/oko_api","https://api.github.com/repos/saldrock/oko_api/{archive_format}{/ref}","0"
"luizfelipers/profiles-rest-api","https://api.github.com/repos/luizfelipers/profiles-rest-api/{archive_format}{/ref}","0"
"guojy1314/forShare","https://api.github.com/repos/guojy1314/forShare/{archive_format}{/ref}","0"
"supatsaraporn/ubu-datascience-webapp","https://api.github.com/repos/supatsaraporn/ubu-datascience-webapp/{archive_format}{/ref}","0"
"AlexVito96/Section-111-Warehouse.py","https://api.github.com/repos/AlexVito96/Section-111-Warehouse.py/{archive_format}{/ref}","0"
"kngtz/rodentopia_backend","https://api.github.com/repos/kngtz/rodentopia_backend/{archive_format}{/ref}","0"
"yurixcode/Django-DRF","https://api.github.com/repos/yurixcode/Django-DRF/{archive_format}{/ref}","0"
"nicolasteodosio/megawatt_chlg","https://api.github.com/repos/nicolasteodosio/megawatt_chlg/{archive_format}{/ref}","0"
"tayllm/authorappreciation","https://api.github.com/repos/tayllm/authorappreciation/{archive_format}{/ref}","0"
"raisulru/go-games","https://api.github.com/repos/raisulru/go-games/{archive_format}{/ref}","0"
"szymon6927/netguru","https://api.github.com/repos/szymon6927/netguru/{archive_format}{/ref}","0"
"EUGINELETHAL/Djaopen-shift","https://api.github.com/repos/EUGINELETHAL/Djaopen-shift/{archive_format}{/ref}","0"
"jsdev63/django-auth","https://api.github.com/repos/jsdev63/django-auth/{archive_format}{/ref}","0"
"Nelson5501/example.io","https://api.github.com/repos/Nelson5501/example.io/{archive_format}{/ref}","0"
"meetzooler/practice","https://api.github.com/repos/meetzooler/practice/{archive_format}{/ref}","0"
